Id;date;order_number;place;t_c;order_count;branch
1;2024-01-09;79077;1;Boxberry;1;Купи Флакон
2;2024-01-09;79095;1;Почта России;1;Купи Флакон
3;2024-01-09;79086;1;Boxberry;1;Купи Флакон
4;2024-01-09;79065;1;Boxberry;1;Купи Флакон
5;2024-01-09;79087;1;Boxberry;1;Купи Флакон
6;2024-01-09;0;1;Яндекс Маркет;1;Маркетплейс
7;2024-01-09;0;13;Озон;13;Маркетплейс
8;2024-01-09;79013;1;DPD;1;Купи Флакон
9;2024-01-09;79068;1;Сдек;1;Купи Флакон
10;2024-01-09;79090;1;Сдек;1;Купи Флакон
11;2024-01-10;79104;1;Сдек;1;Купи Флакон
15;2024-01-10;0;11;Озон;11;Маркетплейс
16;2024-01-10;0;3;Яндекс Маркет;3;Маркетплейс
17;2024-01-10;79046;1;Сдек;1;Купи Флакон
18;2024-01-10;79122;15;Самовывоз;1;Купи Флакон
19;2024-01-10;79101;12;ПЭК;1;Купи Флакон
20;2024-01-10;79106;4;Деловые линии;1;Купи Флакон
21;2024-01-10;79112;1;Boxberry;1;Купи Флакон
22;2024-01-10;79137;1;Boxberry;1;Купи Флакон
23;2024-01-10;79133;1;Сдек;1;Купи Флакон
24;2024-01-10;79126;1;Сдек;1;Купи Флакон
25;2024-01-10;79128;1;Сдек;1;Купи Флакон
26;2024-01-11;79130;1;Сдек;1;Купи Флакон
27;2024-01-11;79148;1;Сдек;1;Купи Флакон
28;2024-01-11;79136;1;Boxberry;1;Купи Флакон
29;2024-01-11;79140;1;Boxberry;1;Купи Флакон
30;2024-01-11;79153;1;Boxberry;1;Купи Флакон
31;2024-01-11;79047;1;Почта России;1;Купи Флакон
33;2024-01-11;79147;1;Почта России;1;Купи Флакон
34;2024-01-11;79162;14;Деловые линии;1;Купи Флакон
35;2024-01-11;79062;9;DPD;1;Купи Флакон
36;2024-01-11;79155;1;DPD;1;Купи Флакон
37;2024-01-11;79139;2;ПЭК;1;Купи Флакон
38;2024-01-11;79146;3;DPD;1;Купи Флакон
39;2024-01-11;0;1;Озон;1;Маркетплейс
40;2024-01-11;79142;1;Сдек;1;Купи Флакон
41;2024-01-11;79152;1;Сдек;1;Купи Флакон
42;2024-01-12;78917;6;DPD;1;Купи Флакон
43;2024-01-12;79185;2;Деловые линии;1;Купи Флакон
44;2024-01-12;79188;2;Самовывоз;1;Купи Флакон
45;2024-01-12;79186;1;Самовывоз;1;Купи Флакон
46;2024-01-12;79171;1;Самовывоз;1;Купи Флакон
47;2024-01-12;79120;4;Самовывоз;1;Купи Флакон
48;2024-01-12;78821;10;Самовывоз;1;Купи Флакон
49;2024-01-12;79168;1;Сдек;1;Купи Флакон
50;2024-01-12;79200;5;Самовывоз;1;Купи Флакон
51;2024-01-12;79165;1;Сдек;1;Купи Флакон
52;2024-01-12;79189;1;Сдек;1;Купи Флакон
55;2024-01-12;79163;1;Сдек;1;Купи Флакон
56;2024-01-12;79169;1;Сдек;1;Купи Флакон
57;2024-01-12;79175;1;Сдек;1;Купи Флакон
58;2024-01-12;79174;1;Сдек;1;Купи Флакон
59;2024-01-12;79135;1;Сдек;1;Купи Флакон
60;2024-01-12;79194;1;Boxberry;1;Купи Флакон
61;2024-01-12;79205;1;Почта России;1;Купи Флакон
64;2024-01-12;79014;14;DPD;1;Купи Флакон
66;2024-01-15;0;2;Яндекс Маркет;2;Маркетплейс
67;2024-01-15;79204;1;Самовывоз;1;Купи Флакон
68;2024-01-15;79214;1;Самовывоз;1;Купи Флакон
69;2024-01-15;79216;3;Самовывоз;1;Купи Флакон
70;2024-01-15;79208;1;Boxberry;1;Купи Флакон
71;2024-01-15;79202;4;Сдек;1;Купи Флакон
72;2024-01-15;79211;2;DPD;1;Купи Флакон
73;2024-01-15;79187;15;ПЭК;1;Купи Флакон
74;2024-01-15;0;6;Озон;6;Маркетплейс
75;2024-01-15;79190;8;DPD;1;Купи Флакон
76;2024-01-16;79154;19;Самовывоз;1;Купи Флакон
77;2024-01-16;79224;1;Самовывоз;1;Купи Флакон
78;2024-01-16;79253;1;Boxberry;1;Купи Флакон
79;2024-01-16;79260;1;Самовывоз;1;Купи Флакон
80;2024-01-16;79234;1;Boxberry;1;Купи Флакон
81;2024-01-16;79284;1;Boxberry;1;Купи Флакон
82;2024-01-16;79243;1;Boxberry;1;Купи Флакон
83;2024-01-16;79262;1;Самовывоз;1;Купи Флакон
84;2024-01-16;79268;1;Самовывоз;1;Купи Флакон
85;2024-01-16;79271;1;Самовывоз;1;Купи Флакон
86;2024-01-16;79245;1;Самовывоз;1;Купи Флакон
